"Shrinkage","Error","Tree"
1e-04,0.00189877781023507,1000
0.0051,0.00189467304410892,341
0.0101,0.00189393412057481,159
0.0151,0.00188476390475093,333
0.0201,0.00188542297841414,168
0.0251,0.00189087204847288,75
0.0301,0.00188925837172667,86
0.0351,0.0018891508221608,43
0.0401,0.00188397994975192,283
0.0451,0.00189449591058437,24
0.0501,0.00189299996195994,42
0.0551,0.00188925771190433,53
0.0601,0.00188509940908523,73
0.0651,0.00189137910617984,64
0.0701,0.00188933977122227,15
0.0751,0.00189216013904243,19
0.0801,0.00189732682941884,6
0.0851,0.00189238218782889,30
0.0901,0.00189139874693434,24
0.0951,0.00189213241924115,13
