"","Rtn_date","AAPL_Rtn","IBM_Rtn","AAPL_Pred","IBM_Pred","AAPL_var","IBM_var","covariance","We_A","We_B","return"
"1",2020-01-10,4.33715373263366,1.7492973574303,0.2215568132972,0.606077777498331,20.6103115062427,9.32978540906822,5.30979346215149,0.92602955534065,0.0739704446593502,4.14572884584533
"2",2020-01-17,2.70680382973494,1.18516056499876,0.120754429761501,0.354070467086957,20.6062672622958,9.32094968836213,5.30912742417698,0.446049351257357,0.553950648742643,1.86388855607946
"3",2020-01-24,-0.131777988951975,1.62678044431754,0.450595864621709,0.230208013268949,20.5909552537554,9.31145547610964,5.30565120044194,0.0898052529191861,0.910194747080814,1.46885265944461
"4",2020-01-31,-2.76459681146802,2.25526326487284,-0.0771042283051649,0.886902705861366,20.568700532933,9.30336642015255,5.29892704827831,0.660682701843867,0.339317298156133,-1.0612714532422
"6",2020-02-14,1.53735962253541,-1.76651256719867,0.160758029744918,0.593150307951945,20.5390173683783,9.32239514967294,5.30002202336516,0.793608778988523,0.206391221011477,0.855469407230328
"7",2020-02-21,-3.66210911233942,-0.570670880637103,0.313321253974801,0.580264351073994,20.5185967928875,9.31828300699462,5.29065911241692,1.23720880840486,-0.237208808404856,-4.39542549153874
"8",2020-02-28,-12.6784876286275,-13.1406850811715,1.02251311389299,0.491154530362417,20.513438641689,9.30953723992744,5.2898766219983,-0.45384517694263,1.45384517694263,-13.3504511658038
"9",2020-03-06,5.73237376250357,-1.85938617868856,2.22835018938326,6.54603023578163,20.696175234809,9.50245255572488,5.48821538485901,1.45819749683248,-0.458197496832476,9.21089916411088
"10",2020-03-13,-3.82659239525307,-15.4857946726894,0.03995873051514,-0.388569784300341,20.6869852849904,9.5692086392892,5.45007019638406,1.49014537474899,-0.490145374748985,1.88811167429518
"11",2020-03-20,-17.530667338202,-11.6350146818438,-2.71710492029167,1.61326462881538,20.6807292678947,9.80732967602999,5.50778461480477,0.314814847406382,0.685185152593618,-13.4910536732163
"12",2020-03-27,8.07014468556719,13.250865009444,-2.49695327183651,2.34531216200715,20.8972444119485,9.98784119565659,5.71556939463435,0.432713198116434,0.567286801883566,11.0090989495525
"13",2020-04-03,-2.5550980454493,-1.56438305622867,-2.87278226264564,-1.19237420697788,20.9960108045812,10.1063866164537,5.83474727909994,-0.858347591296632,1.85834759129663,-0.714005231569671
"14",2020-04-09,11.0103092496531,14.2561637862014,-0.742655090839234,-1.56588646098289,20.9732987529043,10.0955518381575,5.82827670451389,2.20580328549191,-1.20580328549191,7.09644718525443
"15",2020-04-17,5.52632428154258,-1.1358,-0.425100596905436,3.28369384976796,21.1005070830194,10.356400613604,6.02385511455094,0.81797303500846,0.18202696499154,4.31363801817694
"16",2020-04-24,0.0601174000049998,3.82950206886026,0.501879694330135,-0.743968146088971,21.1160373986385,10.3663523763747,5.98879422435332,0.797824673159603,0.202175326840397,0.822193977417993
"17",2020-05-01,2.15570837898009,-2.28511704389739,0.882216439984369,0.64010735204322,21.0933712193601,10.3777827961262,5.98011688857917,-1.61128752068178,2.61128752068178,-9.44056362930625
"18",2020-05-08,7.28543100880947,0.919007936678229,0.443146006058011,1.01223600338279,21.0722980705498,10.3758121846224,5.96961324509804,1.33939448411669,-0.339394484116691,9.44615988304406
"19",2020-05-15,-0.780321790470806,-4.88657215849374,0.290262224068027,0.400066327238419,21.1001300337804,10.3646044865552,5.96246999510048,1.3666732199028,-0.366673219902803,0.725330253699232
"20",2020-05-22,3.63329897977445,1.205330794871,0.370518480303218,0.919754675824768,21.0785814593727,10.3835936247757,5.96214312756092,1.2194292387973,-0.219429238797298,4.16606619041187
"22",2020-06-05,4.26495434025345,5.73258277449828,0.424124584991676,0.959917786836191,21.044788609582,10.3936511986422,5.94799848340559,1.32498468512149,-0.324984685121493,3.78799757567504
"23",2020-06-12,2.20210799396681,-7.68589592133722,0.333151829595331,0.747193893572256,21.0380148578052,10.4069823933524,5.96132786468988,1.20082942490588,-0.200829424905882,4.18791013374443
"24",2020-06-19,3.22314415194136,0.459352786174949,0.649061715545976,-3.30328460429323,21.0191492473606,10.4722619862911,5.93797044204583,0.89903169326462,0.10096830673538,2.94408881757006
"26",2020-07-02,2.96354378346244,2.14181667135733,-0.0518339109746529,0.821925516521035,20.9817358039254,10.4882147173786,5.93194049282863,0.654557191056868,0.345442808943131,2.67968406167213
"27",2020-07-10,5.37475182224063,-1.12781874171642,0.0976332433418853,-0.0564481772646201,20.9689927887445,10.478840545828,5.92984834905001,1.98887170210632,-0.988871702106319,11.8049598438873
"28",2020-07-17,0.42483424572215,5.71187419876424,0.300200354489912,0.529156051826773,20.9763578719425,10.4688501757429,5.91744621001403,1.21925793974042,-0.219257939740424,-0.734391241707167
"29",2020-07-24,-3.85404068260924,0.543521696558869,0.38171031497158,0.257042316895839,20.9539398780761,10.486381424101,5.91180823794965,-0.056488569677366,1.05648856967737,0.791933705425069
"32",2020-08-14,3.41545541459001,0.248077786876433,-0.786567300546424,0.242646152771738,21.1291682628229,10.4637671413464,5.84915531399838,-0.0071451137803854,1.00714511378039,0.225446513340972
"33",2020-08-21,8.23488624994115,-1.68435623096567,0.73200150257548,0.546071964930869,21.1254705276107,10.4526236507833,5.842950488158,-1.59238800182888,2.59238800182888,-17.4796389447931
"34",2020-08-28,0.351772927110083,1.55082489279554,0.440266020873657,0.348067951223591,21.1628830903816,10.4467961893857,5.81893176881838,-1.0636659920951,2.0636659920951,2.82621569144995
